Earth System,Institutional System,Economical System,Sociological System,Technological System
63.39,47.06,19.37,44.1,40.06
61.84,18.26,33.64,35.13,34.42
57.62,15.92,25.02,29.84,27.06
62.96,30.06,26.08,45.77,40.4
57.08,20.93,23.53,35.26,38.38
57.3,32.52,22.74,37.83,36.38
55.64,21.31,22.59,34.43,35.26
68.4,66.06,33.94,46.85,38.61
54.7,48.89,21.31,39.2,36.23
58.67,15.62,19.2,26.97,27.46
57.68,35.5,27.04,35.63,37.9
49.53,14.82,25.74,26.93,26.6
59.72,58.57,19.32,46.01,42.85
60.83,36.16,37.07,48.49,39.88
64.27,37.48,23.05,41.82,41.29
53.01,12.15,22.45,29.12,27.56
61.75,51.45,19.07,43.72,42.42
58.3,47.16,14.43,43.1,41.71
65.06,32.77,23.19,39.91,34.7
59.91,55.15,19.87,42.63,44.21
60.76,58.45,18.72,48.85,42.86
54.66,29.25,25.24,30.66,34.17
65.24,73.72,28.28,49.7,48.77
64.12,34.87,24.57,39.56,38.31
64.46,35.37,22.36,40.37,38.83
57.19,23.55,26.75,30.98,31.14
66.68,67.97,19.85,45.26,44.15
67.2,39.98,23.92,41.47,42
64.5,74.35,33.33,49.25,42.89
64.98,60.24,37.42,49.27,46.23
63.76,27.42,19.82,39.98,37.87
61.94,52.04,18.11,38.54,39.39
59.66,69.96,34.58,50,46.75
55.9,39.04,24.15,36.99,38.39
58.46,48.21,10.19,44.41,44.86
54.03,34.04,25.57,38.84,37.05
59.99,43.37,26.72,45.41,42.19
56.69,22.7,25.47,26.6,31.41
59.64,24.22,23.85,39.46,36.43
57.33,46.52,19.53,46.98,42.41
64.01,70.8,31.67,46.78,43.02
54.04,30.43,30.35,34.84,38.79
61.68,66.6,36.34,49.62,47.79
67.3,37.93,32.7,38.4,39.42
47.9,21.71,19.84,39.81,41
46.77,17.41,22.3,39.14,35.83
61.34,68.31,38.91,46.31,47.3
51.61,54.64,27.42,49.41,44.47
60.74,52.01,19.52,43.9,48.64
57.98,28.58,25.23,34.62,39.71
62.36,68.57,35.1,48.74,47.74
58.93,35.43,32.21,39.93,38.87
48.32,15.72,20.18,29.3,33.7
58.76,70.9,25.14,48.41,44.97
55.25,43.77,20.32,40.49,36.63
60.16,30.31,22.44,33.64,37.6
55.14,59.11,32.55,49.35,41.54
52.93,29.14,20.56,38.17,37.3
62.05,21.34,27.7,36.88,37.91
55.75,20.83,23.77,41.03,39.3
56.5,28.72,14.46,31.11,31.33
65.27,57.32,19.7,42.59,41.99
53.95,18.3,14.88,43.85,37.58
66.53,60.53,17.91,44.3,47.1
51.54,69.32,20.5,49.53,41.59
56.43,22.62,24.41,33.11,29.18
56.29,30.02,23.05,31.66,27.88
65.17,51.3,30.89,45.47,44.3
53.58,20.52,22.3,23.49,34.39
58.47,56.75,24.73,44.87,49.79
43.98,20.89,20.71,31.97,33.35
34.03,44.73,20.35,49.89,39.47
62.92,56.16,23.08,40.26,43.29
58.37,29.82,29.22,42.2,40.41
54.61,38.64,25.38,40.69,37.29
63.47,42.04,14.59,40.55,41.87
48.26,19.95,23.48,35.12,37.82
59.38,40.98,21.93,37.62,41.35
59.15,22.6,22.28,30.51,28.66
57.23,41.72,15.3,38.42,37.86
45.01,45.43,24.23,43.86,40.25
53,43.94,12.33,39.15,34.91
54.97,50.08,19.41,38.34,37.68
48.43,28.32,19.82,34.52,35.48
53.14,74.13,32.01,48.67,48.05
62.23,72.51,28.46,48.73,51.26
61.12,22.73,23.44,37.32,37.77
57.58,67.27,23.84,51.97,44.2
46.11,23.96,23.4,24.53,26.18
53.48,24.86,26.9,31.01,34.87
61.61,72.66,18.49,47.57,39.16
41.6,21.35,27.04,28.79,34.82
64.21,43.06,19.98,40.79,45.08
60.94,31.45,28.26,34.7,33.79
59.3,29.57,28.61,39.49,38.13
60.55,35.83,25.76,43.72,39.74
62.82,31.91,27.01,37.06,40.19
60.03,52.55,21.04,45.7,45.44
61.01,62.05,20.54,45.42,46.99
64.86,29.36,23.86,33.4,37.22
35.36,53.96,33.66,40.78,48.18
57.6,52.22,24.45,36.75,35.62
58.7,48.93,18.32,40.27,41.48
69.16,33.47,29.54,43.59,40.22
55.57,41.39,26.51,33.97,31.57
54.63,23.3,26.52,39.05,35.12
39.25,44.3,29.24,45.61,38.38
52.69,38.06,21.59,33.65,36.12
57.06,41.3,13.08,42.29,38.87
57.27,52.13,22.92,43.57,36.56
53.72,28.33,25.41,29.47,28.62
57.97,65.87,41.35,51.76,47.23
58.15,54.96,16.7,43.95,43.83
57.67,26.18,28.63,38.88,41.54
58.67,58.56,20.03,46.19,45.24
54.64,40.73,12.19,42.97,41.94
60.25,15.25,24.05,35.31,32.52
54.45,47.92,17.3,39.3,39.02
64.88,59.56,21.44,46,49.02
48.8,14.85,23.24,29.33,31.79
50.42,32.04,18.97,35.31,36.77
67.17,72.9,32.8,50.52,42.17
58.48,71.39,32.8,47.27,48.84
71.73,39.44,24.63,43.75,40.2
50.45,20.94,28.09,31.22,35.48
58.76,39.79,28.35,38.43,45.41
57.93,28.56,24.05,30.72,32.26
57.11,41.79,22.3,39.98,34.57
40.01,53.55,39.89,44.86,54.43
59.49,39.59,23.46,39.45,39.63
60.71,36.01,23.65,43.36,40.24
47.26,18.77,25.34,41.15,35.5
62.06,34.93,16.43,39.37,37.39
55.99,23.66,24.17,33.67,29.69
61.99,33.45,14.83,42.05,38.62
40.78,26.18,29.05,38.47,37.85
63.22,60.9,34.35,46.75,49.44
57.77,37.15,20.83,38.8,36.95
66.44,61.66,41.63,48.65,44.98
57.28,27.95,20.43,25.77,30.74
65.46,64.01,19.52,44.47,41.33
47.51,21.27,28.08,39.1,37.26
50.32,9,17.7,29.71,32.89
58.48,28.05,18.92,34.28,34.1
55.45,51.96,23.02,44.1,38.72