Participation,Rule of law,Transparency,Responsiveness,Consensus oriented,Equity and inclusiveness,Effectiveness and Efficiency,Political suppport
12.5,0,41.15,0,50,50,40,56.53
0,0,31.9,0,50,25,10,23.01
31.25,0,25.45,0,50,50,30,16.04
12.5,0,38.55,0,50,50,20,33.98
43.75,0,28.1,50,50,50,20,23.72
12.5,0,27.55,0,50,50,20,27.44
12.5,0,26.75,50,50,50,20,19.85
68.75,100,43.75,50,100,100,70,88.09
6.25,0,27.35,0,50,50,10,39.97
6.25,0,26.15,0,25,50,10,8.9
6.25,0,36.3,0,25,50,40,37.4
6.25,0,19.25,0,0,25,10,12.3
25,50,41.2,50,25,50,50,68.41
75,100,29.1,100,100,100,60,38.35
25,0,36.9,50,50,50,50,55.28
18.75,25,16.9,0,50,25,0,24.91
0,0,39.9,0,50,50,30,61.2
0,0,34.2,0,50,50,40,60.14
12.5,0,31.37,50,75,75,40,38.8
6.25,0,40.4,0,50,50,20,60.19
18.75,50,42.55,50,50,50,50,71.88
18.75,0,24,50,25,50,20,30.22
62.5,50,43.05,0,100,100,70,90.42
18.75,0,31.95,0,50,25,20,40.95
12.5,0,36.45,0,50,50,60,41.98
18.75,0,26.8,0,25,0,20,23.67
6.25,0,43.05,0,50,50,50,73.06
6.25,0,28.8,0,50,0,10,39.87
37.5,50,44.25,50,100,75,70,89.21
56.25,50,43.15,50,100,75,80,80.78
12.5,0,14.05,50,50,0,0,21.55
18.75,0,40.05,0,50,25,50,56.9
87.5,100,43.75,100,100,100,80,87.71
31.25,50,31,50,25,25,30,41.17
50,50,42.7,50,100,100,80,59.03
12.5,0,34.05,0,50,75,40,26.61
37.5,100,32.3,0,50,0,10,53.4
0,0,22.95,50,50,50,40,21.62
0,0,30.6,0,50,50,30,31.22
6.25,0,42.4,0,50,50,50,58.18
56.25,100,38.9,50,100,100,60,79.12
37.5,50,35.2,50,0,0,20,40.74
68.75,100,44.1,0,75,100,70,84.09
6.25,0,36.1,50,25,25,30,44.28
0,0,30.25,0,50,25,20,40.78
0,0,17.4,0,50,25,30,17.63
43.75,50,43.5,50,50,50,50,75.08
6.25,0,39.05,50,50,50,50,67.51
75,100,44.9,50,100,100,60,65.7
18.75,0,28.05,50,50,50,40,30.96
75,100,42.9,100,100,75,90,83.94
0,0,39.3,0,0,50,20,36.87
43.75,50,24.9,0,50,25,20,29.92
31.25,50,44.55,0,100,75,60,82
6.25,0,31,0,50,50,40,43.85
6.25,0,27.25,0,50,50,40,35.26
43.75,50,41.47,0,50,50,40,65.23
0,0,28.92,0,50,50,10,37.93
0,0,27.05,50,0,0,0,29.59
6.25,0,25.95,0,50,50,50,34.09
0,0,27.6,0,75,75,40,40
0,0,41.85,50,50,50,30,67.49
0,0,10.7,0,25,25,10,15.2
6.25,0,42.45,0,50,50,40,68.37
68.75,100,39.1,0,50,50,40,77.1
0,0,26,0,25,25,10,27.04
0,0,28.25,0,50,50,40,32.63
0,0,35.55,0,0,50,20,53.5
0,0,25.95,0,50,50,30,23.93
6.25,0,37.3,0,100,50,60,68.05
0,0,24.05,0,25,0,0,25.97
12.5,0,27.25,0,50,50,30,38.5
6.25,0,37.95,0,25,25,30,57.91
6.25,0,43.75,0,50,50,50,45.92
0,0,38.15,0,25,25,10,42.88
0,0,33.5,0,50,50,20,52.79
31.25,0,29.05,0,50,25,10,23.72
6.25,0,29.5,0,50,50,50,35.81
0,0,28.1,0,50,50,30,27.25
12.5,0,41.1,0,50,25,20,45.4
0,0,29.25,0,25,50,10,42.5
0,0,26.1,0,75,50,30,46.67
12.5,0,30.72,0,50,50,10,55.34
0,0,26.8,0,50,50,20,29.04
75,100,44,100,75,50,50,85.23
43.75,50,42.65,50,100,75,80,85.72
6.25,0,25.85,0,75,50,50,33.95
37.5,50,41.2,35,50,75,70,80.08
0,0,28.5,0,50,50,30,28.87
0,0,26.8,0,25,50,30,23.23
81.25,100,45.05,50,100,75,80,90.14
0,0,30.35,0,0,25,20,24.93
6.25,0,29.8,0,50,50,40,55.8
6.25,0,20.4,0,50,50,30,29.76
0,0,30.55,0,50,75,40,40.08
6.25,0,34.4,0,50,50,50,51.3
6.25,0,37.85,0,25,50,30,41.24
68.75,100,44.55,50,50,50,50,61.87
12.5,0,42.75,0,100,50,60,71.55
0,0,25.5,0,25,50,20,34.06
0,0,31.5,50,0,0,30,44.09
37.5,0,26,50,25,50,30,43.41
12.5,0,38.75,0,50,50,40,52.94
56.25,50,39.1,0,50,50,50,54.06
0,0,33.65,50,50,50,30,36.56
12.5,0,31.35,50,50,50,30,35.48
6.25,0,31.7,0,50,50,30,41
0,0,31.8,0,0,25,20,37.62
0,0,37.9,0,75,50,40,49.97
0,0,24.3,0,0,50,20,48.83
0,0,26.4,0,75,75,40,27.68
75,100,37.55,50,25,25,20,64.73
0,0,39.52,0,50,50,50,65.66
18.75,25,28.17,0,50,50,40,31.47
12.5,0,44.45,0,50,75,80,72.84
12.5,0,36.75,0,50,50,50,55.61
6.25,0,30.85,0,50,50,40,31.13
12.5,0,28.65,0,50,50,40,53.66
43.75,50,44.45,50,100,75,80,71.32
0,0,19.6,0,50,50,20,11.02
6.25,0,23.6,0,75,50,40,25.36
81.25,100,44.25,50,75,75,80,90.27
87.5,100,43.5,100,75,100,80,77.26
68.75,100,38.4,50,50,50,40,47.97
0,0,27.9,0,0,50,20,17.74
37.5,50,38.05,50,0,25,20,47.58
0,0,30.45,0,25,50,40,24.34
6.25,0,21.05,0,50,50,40,47.73
12.5,0,29.85,0,50,25,20,48.57
12.5,0,32.05,0,50,50,40,43.96
6.25,0,42.3,0,50,50,50,41.58
0,0,11.75,0,25,25,10,11.3
12.5,0,37.7,0,25,50,30,45.98
6.25,0,33.8,0,25,50,40,28.9
6.25,0,36.25,0,50,50,40,42.57
56.25,50,37.05,50,50,50,50,29.42
81.25,100,41.6,100,100,75,90,84.1
18.75,0,29.4,0,50,50,30,40.31
87.5,100,39.55,100,100,75,90,72.87
37.5,0,26.8,50,25,25,20,33
6.25,0,33.4,0,25,0,20,67.18
0,0,27.45,0,50,50,30,24.57
6.25,0,18.4,0,25,25,10,24
0,0,29.5,0,25,50,30,29.12
12.5,0,42.22,0,0,50,20,52.23