AMR surveillance system,AMR laboratory network and coordination capacity,Antimicrobial control and optimization,Improve awareness and understanding ,Antimicrobial resistance rate for important antibiotics
28.57,33.88,15.17,5.21,15.97
46.51,52.12,37.57,65.62,15.21
17.51,22.43,22.81,25,31.35
56.28,56.1,51.16,81.25,22.01
30.12,31.4,22.07,43.75,21.12
31.74,28.91,29.03,48.96,15.26
11.76,19.94,22.92,37.5,17.26
52.78,43.98,56.13,56.25,37.8
24.02,16.83,30.73,25,16.97
16.28,12.74,19.73,21.88,33.51
37.07,51.59,28.76,43.75,12.2
8.14,22.43,27.2,34.38,24
30.49,41.73,63.85,56.25,22.68
63.7,58.53,63.11,71.88,21.17
58.37,39.16,47.53,62.5,24.06
22.47,22.43,20.22,43.75,26.92
46.65,38.73,54.71,53.12,18.67
58.49,70.32,58.09,43.75,19.84
52.47,25.91,46.95,71.88,18.23
57.1,57.7,28.5,53.12,17.16
57.77,57.7,58.69,56.25,33.74
28.45,14.34,29.61,37.5,13.56
75.33,73.88,72.31,96.88,44.43
34.83,18.51,26.26,21.88,16.82
33.62,22.67,47.8,43.75,22.25
51.19,42.69,41.02,65.62,17.18
55.27,57.08,38.49,65.62,35.52
15.32,35.86,18.04,56.25,22.42
59.4,70.86,81.35,65.62,44.68
79.81,75.92,73.78,93.75,40.76
10.94,14.34,4.32,18.75,19.38
12.11,48.19,28.16,53.12,16.54
61.04,65.79,73.69,78.12,43.69
47.43,35.14,40.71,53.12,14
58.25,63.06,59.49,75,12.68
49.5,47.48,24.35,65.62,16.63
41.59,37.11,47.46,43.75,22.22
16.5,19.85,23.8,34.38,20.1
23.72,10.42,30.94,21.88,16.59
60.41,54.59,42.35,53.12,26.01
64.7,64.19,56.01,50,44.14
35.41,53.63,38.4,46.88,4.19
46.72,52.02,62.9,71.88,43.6
44.62,58.7,62.08,59.38,19.17
60.1,51.34,53.39,56.25,11.95
36.58,46.18,37.11,43.75,18.13
87.98,58.23,64.64,46.88,42.46
43.78,39.92,52.08,53.12,41.54
61.52,72.9,50.55,68.75,18.06
34.36,36.56,28.36,37.5,11.37
87.12,57.09,69.44,87.5,40.62
45.04,50.59,45.74,46.88,23.62
8.21,36.14,9.34,34.38,29.66
88.44,69.35,62.73,90.62,43.28
58.82,45.29,35.73,59.38,15.35
41.27,46.25,48.53,68.75,10.26
54.84,64.65,61.39,62.5,27.7
32.22,42.5,31.6,62.5,11.05
31.96,37.99,25.92,40.62,32.38
34.57,39.07,23.6,43.75,14.78
6.28,20.38,29,40.62,18.25
54.77,63.75,56.99,68.75,26.79
2.41,40.23,12.36,31.25,14.07
51.06,54.14,46.89,81.25,25.3
75.28,69.35,46.12,50,40.88
18.23,25.45,31.81,34.38,27.7
17.79,27.97,31.49,21.88,24.93
65.12,60.53,68.79,93.75,33.71
23.49,34.96,15.81,34.38,25.67
55.33,52.19,52.51,59.38,31.17
6.24,17.36,19.01,40.62,12.29
18.38,38.18,49.17,50,25.27
26.65,30.07,22.65,37.5,26.17
42.92,45.8,44.58,56.25,20.25
23.99,33.57,38.97,36.11,14.39
19.02,49.17,35.61,28.12,19.38
37.74,53.1,22.43,46.88,9.34
49,57.38,37.53,62.5,21.68
26.73,38.07,47.49,53.12,39.53
12.83,46.06,25.4,53.12,15.72
43.31,36.67,59.06,59.38,21.84
35.33,18.87,49.47,53.12,19.46
25.25,30.38,31.95,43.75,25.07
39.46,51.05,36.23,43.75,21.08
93.14,67.3,75.23,90.62,44.49
37.78,48.69,52.8,56.25,37.42
29.63,32.38,41.25,46.88,9.48
71.8,69.79,79.52,65.62,42.26
11.09,10.78,29.73,15.62,25.28
33.26,35.67,27.38,75,9.22
68.74,73.88,78.37,96.88,44.71
28.2,48.32,19.86,40.62,4.39
26.95,14.37,43.37,45.83,21.57
8.74,27.1,3.98,31.25,18.2
35.99,26.75,39.67,43.75,19.95
34.37,31.64,35.29,40.62,23.03
35.56,48.5,56.03,65.62,24.45
54.6,59.66,34.61,43.75,22.19
61.83,70.32,78.57,65.62,33.9
22.66,50.07,31.04,53.12,17.63
29.65,41.65,40.04,50,34.49
44.63,53.54,32.16,40.62,18.69
33.91,54.06,58.65,50,13.96
48.93,64.28,53.65,78.12,12.48
20.13,20.38,60.68,56.25,21.89
34.68,12.07,43.98,15.62,19.72
41,51.87,47.95,59.38,11.79
21.56,20.38,12.3,37.5,12.19
33.89,53.17,53.91,62.5,22.28
17.5,13.8,19.22,25,23.42
3.5,20.47,20.49,28.12,30.72
56.93,60.33,60.39,59.38,34.59
34.36,64.72,49.41,59.38,28.98
71.92,36.62,41.44,34.38,18.03
58.26,51.03,58.22,46.88,38.97
23.79,32.11,40.16,34.38,23.02
36.72,39.67,37.88,53.12,12.82
21.95,21.36,35.23,40.62,17.47
65.14,71.39,69.68,90.62,30.34
40.34,49.29,32.56,53.12,21.58
24.59,44.2,44.61,53.12,15.25
93.98,69.35,80.06,87.5,44.03
87.39,66.86,55.38,65.62,43.38
33.06,30.69,47.63,50,22.44
30.41,58.77,16.06,43.75,22.45
78.97,64.74,50.26,81.25,29.73
27.92,14.34,22.5,37.5,22.74
14.19,13.18,28.51,31.25,24.31
30.94,37.74,52.51,40.62,27.46
31.24,29.03,34.62,46.88,22.88
52.36,38.5,48.55,59.38,19.56
11.86,51.66,23.69,34.38,23.12
19.36,40.99,22.76,25,17.99
39.28,40.17,48.15,50,23.29
20.6,47.57,26.83,40.62,18.31
30.36,43.69,38.12,46.88,3.52
91,63.83,73.76,71.88,43.25
8.66,31.58,42.07,37.5,17.05
58.76,48.07,65.55,96.88,40.84
47.09,33.54,27.49,56.25,20.22
29.13,35.27,49.68,65.62,25.72
21.31,37.43,38.44,53.12,20
26.66,30,15.53,31.25,21.23
40.17,39.67,37.33,40.62,21.66
36.6,45.8,25.22,40.62,37.93